,SepalLength,SepalWidth,PetalLength,PetalWidth,Name,PetalLengthMedian
81,5.5,2.4,3.7,1.0,Iris-versicolor,4.35
82,5.8,2.7,3.9,1.2,Iris-versicolor,4.35
83,6.0,2.7,5.1,1.6,Iris-versicolor,4.35
84,5.4,3.0,4.5,1.5,Iris-versicolor,4.35
85,6.0,3.4,4.5,1.6,Iris-versicolor,4.35
86,6.7,3.1,4.7,1.5,Iris-versicolor,4.35
87,6.3,2.3,4.4,1.3,Iris-versicolor,4.35
88,5.6,3.0,4.1,1.3,Iris-versicolor,4.35
89,5.5,2.5,4.0,1.3,Iris-versicolor,4.35
90,5.5,2.6,4.4,1.2,Iris-versicolor,4.35
91,6.1,3.0,4.6,1.4,Iris-versicolor,4.35
92,5.8,2.6,4.0,1.2,Iris-versicolor,4.35
93,5.0,2.3,3.3,1.0,Iris-versicolor,4.35
94,5.6,2.7,4.2,1.3,Iris-versicolor,4.35
95,5.7,3.0,4.2,1.2,Iris-versicolor,4.35
96,5.7,2.9,4.2,1.3,Iris-versicolor,4.35
97,6.2,2.9,4.3,1.3,Iris-versicolor,4.35
98,5.1,2.5,3.0,1.1,Iris-versicolor,4.35
99,5.7,2.8,4.1,1.3,Iris-versicolor,4.35
100,6.3,3.3,6.0,2.5,Iris-virginica,5.55
101,5.8,2.7,5.1,1.9,Iris-virginica,5.55
102,7.1,3.0,5.9,2.1,Iris-virginica,5.55
103,6.3,2.9,5.6,1.8,Iris-virginica,5.55
104,6.5,3.0,5.8,2.2,Iris-virginica,5.55
105,7.6,3.0,6.6,2.1,Iris-virginica,5.55
106,4.9,2.5,4.5,1.7,Iris-virginica,5.55
107,7.3,2.9,6.3,1.8,Iris-virginica,5.55
108,6.7,2.5,5.8,1.8,Iris-virginica,5.55
109,7.2,3.6,6.1,2.5,Iris-virginica,5.55
110,6.5,3.2,5.1,2.0,Iris-virginica,5.55
111,6.4,2.7,5.3,1.9,Iris-virginica,5.55
112,6.8,3.0,5.5,2.1,Iris-virginica,5.55
113,5.7,2.5,5.0,2.0,Iris-virginica,5.55
114,5.8,2.8,5.1,2.4,Iris-virginica,5.55
115,6.4,3.2,5.3,2.3,Iris-virginica,5.55
116,6.5,3.0,5.5,1.8,Iris-virginica,5.55
117,7.7,3.8,6.7,2.2,Iris-virginica,5.55
118,7.7,2.6,6.9,2.3,Iris-virginica,5.55
119,6.0,2.2,5.0,1.5,Iris-virginica,5.55
120,6.9,3.2,5.7,2.3,Iris-virginica,5.55
121,5.6,2.8,4.9,2.0,Iris-virginica,5.55
122,7.7,2.8,6.7,2.0,Iris-virginica,5.55
123,6.3,2.7,4.9,1.8,Iris-virginica,5.55
124,6.7,3.3,5.7,2.1,Iris-virginica,5.55
125,7.2,3.2,6.0,1.8,Iris-virginica,5.55
126,6.2,2.8,4.8,1.8,Iris-virginica,5.55
127,6.1,3.0,4.9,1.8,Iris-virginica,5.55
128,6.4,2.8,5.6,2.1,Iris-virginica,5.55
129,7.2,3.0,5.8,1.6,Iris-virginica,5.55
130,7.4,2.8,6.1,1.9,Iris-virginica,5.55
131,7.9,3.8,6.4,2.0,Iris-virginica,5.55
132,6.4,2.8,5.6,2.2,Iris-virginica,5.55
133,6.3,2.8,5.1,1.5,Iris-virginica,5.55
134,6.1,2.6,5.6,1.4,Iris-virginica,5.55
135,7.7,3.0,6.1,2.3,Iris-virginica,5.55
136,6.3,3.4,5.6,2.4,Iris-virginica,5.55
137,6.4,3.1,5.5,1.8,Iris-virginica,5.55
138,6.0,3.0,4.8,1.8,Iris-virginica,5.55
139,6.9,3.1,5.4,2.1,Iris-virginica,5.55
140,6.7,3.1,5.6,2.4,Iris-virginica,5.55
141,6.9,3.1,5.1,2.3,Iris-virginica,5.55
142,5.8,2.7,5.1,1.9,Iris-virginica,5.55
143,6.8,3.2,5.9,2.3,Iris-virginica,5.55
144,6.7,3.3,5.7,2.5,Iris-virginica,5.55
145,6.7,3.0,5.2,2.3,Iris-virginica,5.55
146,6.3,2.5,5.0,1.9,Iris-virginica,5.55
147,6.5,3.0,5.2,2.0,Iris-virginica,5.55
148,6.2,3.4,5.4,2.3,Iris-virginica,5.55
149,5.9,3.0,5.1,1.8,Iris-virginica,5.55
